Sample,even,location,logit,animal
PA.270694,0.097897886,h,-2.22080277,PA.270694
PA.270772,0.153408552,h,-1.70811359,PA.270772
PA.270912,0.083567687,h,-2.39483128,PA.270912
PA.271380,0.097143665,h,-2.22937248,PA.271380
PA.272516,0.135910625,h,-1.84967871,PA.272516
PA.272518,0.135307248,h,-1.85482614,PA.272518
PA.272596,0.150391668,h,-1.73153245,PA.272596
PA.273138,0.094881002,h,-2.25544293,PA.273138
PA.215770,0.642596295,h,0.58665071,PA.215770
PA.215836,0.489338587,h,-0.04265212,PA.215836
PA.215838,0.502160344,h,0.00864143,PA.215838
PA.215968,0.580750172,h,0.32585368,PA.215968
PA.215970,0.572152053,h,0.29063691,PA.215970
PA.216067,0.33110302,h,-0.70320049,PA.216067
PA.216100,0.569135169,h,0.27832354,PA.216100
PA.254479,0.424023048,h,-0.30627983,PA.254479
PA.254498,0.624344146,h,0.50802829,PA.254498
PA.254536,0.451929225,h,-0.19287884,PA.254536
PA.254544,0.558123542,h,0.23355,PA.254544
PA.254555,0.515283789,h,0.06115421,PA.254555
PA.254574,0.552994839,h,0.21277853,PA.254574
PA.254593,0.466711957,h,-0.13334942,PA.254593
PA.254631,0.415877461,h,-0.33972014,PA.254631
PA.254677,0.592968553,h,0.37625092,PA.254677
PA.254688,0.444839548,h,-0.22154352,PA.254688
PA.258559,0.492355471,h,-0.0305805,PA.258559
PA.258570,0.638523501,h,0.56896145,PA.258570
PA.258673,0.423872204,h,-0.3068975,PA.258673
PA.258684,0.417084215,h,-0.33475457,PA.258684
PA.258730,0.471689815,h,-0.11336198,PA.258730
PA.258787,0.314057626,h,-0.78121713,PA.258787
PA.258798,0.276044887,h,-0.96416591,PA.258798
PA.258817,0.51890405,h,0.07565226,PA.258817
PA.258855,0.51995996,h,0.07988229,PA.258855
PA.258893,0.444839548,h,-0.22154352,PA.258893
PA.260052,0.691469816,h,0.80699982,PA.260052
PA.260147,0.429151751,h,-0.28531282,PA.260147
PA.260221,0.541681524,h,0.16711393,PA.260221
PA.263823,0.419497722,h,-0.32483563,PA.263823
PA.263825,0.41979941,h,-0.32359689,PA.263825
PA.263975,0.651194414,h,0.62429353,PA.263975
PA.263977,0.734762101,h,1.01891962,PA.263977
PA.264165,0.841559795,h,1.6698798,PA.264165
PA.264184,0.579543419,h,0.32089937,PA.264184
PA.264471,0.44529208,h,-0.21971128,PA.264471
PA.264507,0.688905464,h,0.79500721,PA.264507
PA.264526,0.429302595,h,-0.28469711,PA.264526
PA.264621,0.546810227,h,0.18779085,PA.264621
PA.264792,0.609410571,h,0.44483526,PA.264792
PA.264794,0.557520166,h,0.23110378,PA.264794
PA.264849,0.436844805,h,-0.25397725,PA.264849
PA.265239,0.509400866,h,0.0376079,PA.265239
PA.265258,0.725560605,h,0.97221415,PA.265258
PA.265260,0.631433824,h,0.53837287,PA.265260
PA.265277,0.550430488,h,0.20241019,PA.265277
PA.265828,0.597041346,h,0.39315241,PA.265828
PA.265845,0.45283429,h,-0.18922545,PA.265845
PA.269053,0.474254167,h,-0.10307449,PA.269053
PA.269279,0.361573549,h,-0.568541,PA.269279
PA.269381,0.312096651,h,-0.79033543,PA.269381
PA.269539,0.519658271,h,0.07867364,PA.269539
PA.269541,0.552089774,h,0.20911784,PA.269541
PA.269599,0.130480234,h,-1.89671931,PA.269599
PA.270714,0.458113837,h,-0.16793824,PA.270714
PA.270852,0.411352135,h,-0.35837853,PA.270852
PA.270892,0.455398642,h,-0.1788809,PA.270892
PA.270894,0.446951366,h,-0.21299616,PA.270894
PA.271200,0.476365986,h,-0.09460656,PA.271200
PA.271400,0.561442115,h,0.24701687,PA.271400
PA.271698,0.491752094,h,-0.03299462,PA.271698
PA.272036,0.629472849,h,0.529956,PA.272036
PA.272056,0.519356583,h,0.07746505,PA.272056
PA.272058,0.755427757,h,1.12777342,PA.272058
PA.272196,0.484209884,h,-0.06318147,PA.272196
PA.272336,0.608807194,h,0.44230107,PA.272336
PA.272576,0.508948333,h,0.03579715,PA.272576
PA.272656,0.313303405,h,-0.78472049,PA.272656
PA.272658,0.347695882,h,-0.6291827,PA.272658
PA.272818,0.510909308,h,0.04364416,PA.272818
PA.273056,0.367909005,h,-0.54119772,PA.273056
PA.273359,0.23878637,h,-1.15934474,PA.273359
PA.273459,0.541983213,h,0.16832919,PA.273459
PA.273479,0.529161456,h,0.11677835,PA.273479
PA.273641,0.390535635,h,-0.44506126,PA.273641
PA.273699,0.414218175,h,-0.34655458,PA.273699
PA.273701,0.474103323,h,-0.10367948,PA.273701
PA.275076,0.492506315,h,-0.02997698,PA.275076
PA.275146,0.375300371,h,-0.50954425,PA.275146
PA.275254,0.346338285,h,-0.63517396,PA.275254
PA.275649,0.388725505,h,-0.45267266,PA.275649
PA.215803,0.473499946,h,-0.10609964,PA.215803
PA.215805,0.532781717,h,0.13131524,PA.215805
PA.216001,0.368210694,h,-0.53990065,PA.216001
PA.216133,0.449817406,h,-0.20140848,PA.216133
PA.216166,0.349958545,h,-0.61922143,PA.216166
PA.254517,0.559028608,h,0.23722065,PA.254517
PA.254612,0.326879383,h,-0.72233329,PA.254612
PA.254639,0.247686177,h,-1.11099103,PA.254639
PA.254650,0.330197955,h,-0.70728988,PA.254650
PA.254745,0.44634799,h,-0.21543745,PA.254745
PA.258646,0.495221511,h,-0.01911454,PA.258646
PA.258665,0.351768676,h,-0.61127383,PA.258665
PA.258741,0.461734098,h,-0.1533635,PA.258741
PA.258836,0.433827921,h,-0.2662501,PA.258836
PA.258912,0.40003882,h,-0.40530336,PA.258912
PA.258939,0.420704476,h,-0.31988212,PA.258939
PA.258950,0.299576582,h,-0.84931495,PA.258950
PA.258988,0.38782044,h,-0.45648319,PA.258988
PA.260145,0.448610653,h,-0.20628581,PA.260145
PA.260183,0.242708319,h,-1.1378881,PA.260183
PA.260278,0.304856129,h,-0.82427888,PA.260278
PA.263899,0.447253055,h,-0.21177574,PA.263899
PA.264108,0.249496308,h,-1.10130045,PA.264108
PA.264203,0.255379232,h,-1.07012543,PA.264203
PA.264222,0.27182125,h,-0.98540187,PA.264222
PA.264243,0.368210694,h,-0.53990065,PA.264243
PA.264279,0.278760083,h,-0.95062034,PA.264279
PA.264281,0.248440398,h,-1.10694755,PA.264281
PA.264393,0.258999492,h,-1.05117521,PA.264393
PA.264395,0.289470021,h,-0.8979594,PA.264395
PA.264469,0.274838134,h,-0.97021257,PA.264469
PA.264488,0.381484983,h,-0.48324998,PA.264488
PA.264490,0.510155087,h,0.04062593,PA.264490
PA.264564,0.450119095,h,-0.20018952,PA.264564
PA.264697,0.454644421,h,-0.1819224,PA.264697
PA.264906,0.473952478,h,-0.1042845,PA.264906
PA.264908,0.482399754,h,-0.07043008,PA.264908
PA.264953,0.360668484,h,-0.57246391,PA.264953
PA.264955,0.330499644,h,-0.70592611,PA.264955
PA.265241,0.525088662,h,0.100439,PA.265241
PA.265665,0.223400261,h,-1.24596003,PA.265665
PA.265667,0.377713878,h,-0.49926302,PA.265667
PA.268675,0.380579918,h,-0.4870875,PA.268675
PA.269259,0.35478556,h,-0.59806918,PA.269259
PA.269359,0.324315031,h,-0.73401158,PA.269359
PA.269361,0.398982911,h,-0.40970478,PA.269361
PA.269379,0.319035484,h,-0.75820787,PA.269379
